Year,Attempts,Time per year
2000,Successful Attempt,18
2001,Successful Attempt,16
2002,Successful Attempt,24
2003,Successful Attempt,14
2004,Successful Attempt,38
2005,Successful Attempt,24
2006,Successful Attempt,38
2007,Successful Attempt,37
2008,Successful Attempt,39
2009,Successful Attempt,31
2010,Successful Attempt,29
2011,Successful Attempt,34
2012,Successful Attempt,35
2013,Successful Attempt,40
2014,Successful Attempt,29
2015,Successful Attempt,44
2016,Successful Attempt,24
2017,Successful Attempt,42
2018,Successful Attempt,43
2019,Successful Attempt,60
2000,InSuccessful Attempt,4
2001,InSuccessful Attempt,0
2002,InSuccessful Attempt,5
2003,InSuccessful Attempt,7
2004,InSuccessful Attempt,6
2005,InSuccessful Attempt,9
2006,InSuccessful Attempt,0
2007,InSuccessful Attempt,7
2008,InSuccessful Attempt,6
2009,InSuccessful Attempt,5
2010,InSuccessful Attempt,8
2011,InSuccessful Attempt,14
2012,InSuccessful Attempt,7
2013,InSuccessful Attempt,19
2014,InSuccessful Attempt,24
2015,InSuccessful Attempt,17
2016,InSuccessful Attempt,8
2017,InSuccessful Attempt,18
2018,InSuccessful Attempt,15
2019,InSuccessful Attempt,6
2000,No Attempt,78
2001,No Attempt,84
2002,No Attempt,71
2003,No Attempt,79
2004,No Attempt,56
2005,No Attempt,67
2006,No Attempt,62
2007,No Attempt,56
2008,No Attempt,55
2009,No Attempt,64
2010,No Attempt,63
2011,No Attempt,52
2012,No Attempt,58
2013,No Attempt,41
2014,No Attempt,47
2015,No Attempt,39
2016,No Attempt,68
2017,No Attempt,40
2018,No Attempt,42
2019,No Attempt,34
